"condition","age_group","readmissions","initial_admissions"
COPD,"1-4",451,2615
COPD,"10-14",0,3247
COPD,"15-19",1087,11626
COPD,"20-24",2362,17422
COPD,"25-29",0,3019
COPD,"30-34",1619,9048
COPD,"35-39",814,6171
COPD,"40-44",3708,13919
COPD,"45-49",7070,40434
COPD,"5-9",907,4035
COPD,"50-54",20062,60158
COPD,"55-59",33435,84978
COPD,"60-64",48923,160389
COPD,"65-69",59667,182866
COPD,"70-74",43505,171609
COPD,"75-79",61860,287881
COPD,"80-84",36479,193826
COPD,"85-89",18006,157991
COPD,"90+",7723,48958
HF,"0",108,259
HF,"1-4",147,294
HF,"10-14",46,2341
HF,"15-19",1014,2028
HF,"25-29",280,1400
HF,"30-34",0,152
HF,"35-39",0,338
HF,"40-44",489,6749
HF,"45-49",6371,17694
HF,"50-54",10343,36807
HF,"55-59",12218,24253
HF,"60-64",52441,198144
HF,"65-69",33524,138156
HF,"70-74",70674,278985
HF,"75-79",76199,316001
HF,"80-84",65802,337326
HF,"85-89",29212,233155
HF,"90+",16422,113499
IHD,"25-29",0,530
IHD,"35-39",0,548
IHD,"40-44",167,5229
IHD,"45-49",10660,37608
IHD,"50-54",12185,38749
IHD,"55-59",16857,100861
IHD,"60-64",61167,193359
IHD,"65-69",58546,326793
IHD,"70-74",76474,408475
IHD,"75-79",111993,519144
IHD,"80-84",74278,501080
IHD,"85-89",28208,199318
IHD,"90+",11512,113171
P,"0",120,268
P,"1-4",32,292
P,"10-14",348,1740
P,"15-19",4860,11165
P,"20-24",3386,2621
P,"25-29",5956,15834
P,"30-34",932,3447
P,"35-39",0,2014
P,"40-44",8850,20010
P,"45-49",9745,27917
P,"5-9",1638,6524
P,"50-54",24784,75418
P,"55-59",26675,103691
P,"60-64",62694,227428
P,"65-69",40061,139864
P,"70-74",55992,214902
P,"75-79",63820,281399
P,"80-84",64208,309672
P,"85-89",39156,239819
P,"90+",10529,86564
S,"0",108,216
S,"1-4",451,2255
S,"15-19",1686,3708
S,"20-24",40,353
S,"30-34",0,322
S,"35-39",20008,9352
S,"40-44",1072,1482
S,"45-49",88,8350
S,"50-54",952,7541
S,"55-59",4992,12415
S,"60-64",8243,42393
S,"65-69",9688,57181
S,"70-74",7182,53842
S,"75-79",18530,63196
S,"80-84",10244,51071
S,"85-89",7971,50159
S,"90+",1117,13848
